,img,stddev,low_freq_prop,lap_var,exception,suspect
0,M182251191LE_pyr_0.jpg,73.78711421562937,0.4975738525390625,2362.253802256426,,False
1,M182251191LE_pyr_1.jpg,42.17035734219375,0.02606201171875,3205.1645305296406,,False
2,M182251191LE_pyr_2.jpg,42.47564863245442,0.0673675537109375,2132.864501181757,,False
3,M182251191LE_pyr_3.jpg,27.101680523636382,0.0712890625,1441.1625505664852,,False
4,M182251191LE_pyr_4.jpg,33.14649570301692,0.0926971435546875,2076.5504075323697,,False
5,M182251191LE_pyr_5.jpg,42.88984889729261,0.3034515380859375,1894.4195693691727,,False
6,M182251191LE_pyr_6.jpg,37.5475853532018,0.4779205322265625,1767.8522754153237,,False
7,M182251191LE_pyr_7.jpg,16.67671536223925,0.9240264892578125,232.23727425094694,,False
8,M182251191LE_pyr_8.jpg,30.471134477865068,0.915679931640625,322.77574981353246,,False
9,M182251191LE_pyr_9.jpg,77.45819199084079,0.3621826171875,2582.0302163055167,,False
10,M182251191LE_pyr_10.jpg,58.22009707757207,0.1901092529296875,3204.7621469488367,,False
11,M182251191LE_pyr_11.jpg,69.55224870969602,0.6021728515625,1383.6050213417038,,False
12,M182251191LE_pyr_12.jpg,32.8067942848679,0.891265869140625,417.36145363748074,,False
13,M182251191LE_pyr_13.jpg,49.384509530324195,0.568328857421875,1000.7939811886754,,False
14,M182251191LE_pyr_14.jpg,37.11110910514943,0.1759490966796875,1347.096807345748,,False
15,M182251191LE_pyr_15.jpg,73.13157389118837,0.4235687255859375,1386.5623358318117,,False
16,M182251191LE_pyr_16.jpg,72.45707207253297,0.188446044921875,1894.9037895193323,,False
17,M182251191LE_pyr_17.jpg,53.55363711294623,0.10174560546875,1575.7880380153656,,False
18,M182251191LE_pyr_18.jpg,60.637996640328375,0.1378936767578125,2031.9877496396657,,False
19,M182251191LE_pyr_19.jpg,54.86731559668863,0.134735107421875,2352.580293103121,,False
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012026/M182193966CE_pyr.jpeg,,,,Image is corrupt or otherwise unusable: unsupported operand type(s) for /: 'NoneType' and 'int',True
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012026/M182199179CE_pyr.jpeg,53.56767,0.09554910233996773,30097.906043664727,Noise.,True
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012026/M182193788RE_pyr.jpeg,42.9372,0.011792802132701423,10579.935619985741,Noise.,True
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012026/M182250947RE_pyr.jpeg,44.48048,0.0008654843009478673,13194.724700493656,Noise.,True
0,M182251191RE_pyr_0.jpg,18.223788276925244,0.9312744140625,374.32950496673584,,False
1,M182251191RE_pyr_1.jpg,55.11539009226619,0.1018524169921875,3591.600590284681,,False
2,M182251191RE_pyr_2.jpg,54.41917784376125,0.2276153564453125,2015.077607933199,,False
3,M182251191RE_pyr_3.jpg,33.70140116836254,0.2200927734375,1701.0570691665635,,False
4,M182251191RE_pyr_4.jpg,41.487368120181195,0.3307952880859375,2651.6318826877978,,False
5,M182251191RE_pyr_5.jpg,37.878500448116235,0.4700164794921875,1798.98499674513,,False
6,M182251191RE_pyr_6.jpg,42.12616834906745,0.3845672607421875,1583.3927049897611,,False
7,M182251191RE_pyr_7.jpg,82.53633439794532,0.2928009033203125,2093.760546201607,,False
8,M182251191RE_pyr_8.jpg,47.268909184445164,0.56414794921875,1568.63572082459,,False
9,M182251191RE_pyr_9.jpg,38.49855920569647,0.61102294921875,914.6415078358259,,False
10,M182251191RE_pyr_10.jpg,23.62788049574901,0.88055419921875,360.64207770465873,,False
11,M182251191RE_pyr_11.jpg,62.826111709614345,0.641357421875,1153.460393591784,,False
12,M182251191RE_pyr_12.jpg,20.89067357094716,0.8865814208984375,387.66232999577187,,False
13,M182251191RE_pyr_13.jpg,74.99216829965032,0.24346923828125,2821.962057605153,,False
14,M182251191RE_pyr_14.jpg,74.053688161066,0.14208984375,2537.9890973111615,,False
15,M182251191RE_pyr_15.jpg,55.28021493503268,0.142608642578125,2845.719102068804,,False
16,M182251191RE_pyr_16.jpg,32.1283557334364,0.12335205078125,1631.271548278397,,False
17,M182251191RE_pyr_17.jpg,34.74964789223271,0.1589508056640625,1541.2267288265284,,False
18,M182251191RE_pyr_18.jpg,44.83526150309805,0.575164794921875,1234.6473339265212,,False
19,M182251191RE_pyr_19.jpg,46.06534496176538,0.347137451171875,2039.2045984433498,,False
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012026/M182250947LE_pyr.jpeg,41.25552,0.018166895555076834,8281.797696738064,Noise.,True
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012026/M182199839CE_pyr.jpeg,56.6532,0.09372184306078536,33536.349382439184,Noise.,True
0,M182251314RE_pyr_0.jpg,28.25763824890089,0.5929412841796875,680.9911231398582,,False
1,M182251314RE_pyr_1.jpg,33.85849120932492,0.3574066162109375,947.0097844516858,,False
2,M182251314RE_pyr_2.jpg,38.24718967867404,0.2866668701171875,1133.1563529334962,,False
3,M182251314RE_pyr_3.jpg,35.10541563517117,0.310638427734375,1284.269868347561,,False
4,M182251314RE_pyr_4.jpg,50.47350696260369,0.156951904296875,2415.8638667219784,,False
5,M182251314RE_pyr_5.jpg,42.750038111965715,0.13470458984375,2398.670468803495,,False
6,M182251314RE_pyr_6.jpg,40.97047056985264,0.038787841796875,2500.1642978042364,,False
7,M182251314RE_pyr_7.jpg,56.784766168752185,0.1015167236328125,2970.6917632815894,,False
8,M182251314RE_pyr_8.jpg,40.99816194225978,0.078369140625,2114.778493142687,,False
9,M182251314RE_pyr_9.jpg,37.86402309803108,0.08612060546875,2259.3330688101705,,False
10,M182251314RE_pyr_10.jpg,43.370562889135165,0.150665283203125,2167.472768785199,,False
0,M182250988LE_pyr_0.jpg,32.59376327960356,0.5037384033203125,1442.5847957299557,,False
1,M182250988LE_pyr_1.jpg,16.183820004254706,0.73687744140625,384.36867647990584,,False
2,M182250988LE_pyr_2.jpg,28.241180663143055,0.672943115234375,1194.8762906861957,,False
3,M182250988LE_pyr_3.jpg,25.968424754567643,0.7411346435546875,1323.5077835582197,,False
4,M182250988LE_pyr_4.jpg,31.674909789497747,0.6178436279296875,1962.4175766871776,,False
5,M182250988LE_pyr_5.jpg,22.71333995771223,0.8509368896484375,825.7994841895998,,False
6,M182250988LE_pyr_6.jpg,54.032038442937164,0.7643585205078125,1775.1625966930296,,False
7,M182250988LE_pyr_7.jpg,67.55060063342222,0.60791015625,3004.297471130034,,False
8,M182250988LE_pyr_8.jpg,36.815820320738666,0.53643798828125,2720.7422968221363,,False
9,M182250988LE_pyr_9.jpg,18.84223472455803,0.8516693115234375,543.4400988088455,,False
10,M182250988LE_pyr_10.jpg,0.7086124804364938,1.0,1.6504470072686672,Image exhibiting stddev < 10.,True
11,M182250988LE_pyr_11.jpg,0.7113448688048908,1.0,1.759132370352745,Image exhibiting stddev < 10.,True
12,M182250988LE_pyr_12.jpg,88.37913292849962,0.4982757568359375,2033.1635682582855,Image exhibiting stddev < 10.,True
13,M182250988LE_pyr_13.jpg,1.567893099014148,0.9999237060546875,2.4775268805678934,Image exhibiting stddev < 10.,True
14,M182250988LE_pyr_14.jpg,0.7263338088948937,1.0,1.5402427827939391,Image exhibiting stddev < 10.,True
15,M182250988LE_pyr_15.jpg,0.721723989893564,1.0,1.4319829752203077,Image exhibiting stddev < 10.,True
16,M182250988LE_pyr_16.jpg,0.7633043022576755,1.0,1.6186184936668724,Image exhibiting stddev < 10.,True
17,M182250988LE_pyr_17.jpg,0.8331815889403659,1.0,1.7082535913214087,Image exhibiting stddev < 10.,True
18,M182250988LE_pyr_18.jpg,0.7943050030454905,1.0,1.706894621020183,Image exhibiting stddev < 10.,True
19,M182250988LE_pyr_19.jpg,19.98103295635611,0.8244476318359375,572.7755942267831,Image exhibiting stddev < 10.,True
0,M182251389RE_pyr_0.jpg,41.427608712715006,0.06207275390625,1298.1128507049289,,False
1,M182251389RE_pyr_1.jpg,38.53229216663926,0.256378173828125,1199.901641212171,,False
2,M182251389RE_pyr_2.jpg,61.23416711761006,0.0693511962890625,2047.288157226285,,False
3,M182251389RE_pyr_3.jpg,42.18859320167901,0.1039581298828125,1245.535446000984,,False
4,M182251389RE_pyr_4.jpg,60.53259835097124,0.30535888671875,1116.0451127027627,,False
5,M182251389RE_pyr_5.jpg,52.28277735920833,0.3669586181640625,958.2412628531456,,False
6,M182251389RE_pyr_6.jpg,21.417289553484004,0.76348876953125,428.32294610491954,,False
7,M182251389RE_pyr_7.jpg,47.99817121252669,0.351959228515625,1009.1488115927204,,False
8,M182251389RE_pyr_8.jpg,26.3805586100749,0.0482025146484375,1089.9818563347217,,False
9,M182251389RE_pyr_9.jpg,26.749890939358284,0.0587158203125,1026.5805969238281,,False
10,M182251389RE_pyr_10.jpg,77.09555128147959,0.1453094482421875,1972.744800861692,,False
11,M182251389RE_pyr_11.jpg,83.0676864543409,0.277618408203125,1487.9219984726515,,False
12,M182251389RE_pyr_12.jpg,45.295562595512784,0.139739990234375,1540.1762043498456,,False
13,M182251389RE_pyr_13.jpg,30.106515548304976,0.0256805419921875,1930.7283146148548,,False
14,M182251389RE_pyr_14.jpg,62.42886433591372,0.6006011962890625,1099.1393011489417,,False
15,M182251389RE_pyr_15.jpg,7.048707731573861,0.993560791015625,45.84006813331507,Image exhibiting stddev < 10.,True
16,M182251389RE_pyr_16.jpg,53.97109576445939,0.240264892578125,1514.5220573982224,Image exhibiting stddev < 10.,True
17,M182251389RE_pyr_17.jpg,27.786348246665263,0.0363616943359375,1043.9311038218439,Image exhibiting stddev < 10.,True
18,M182251389RE_pyr_18.jpg,34.277911811303014,0.529083251953125,566.1314478979912,Image exhibiting stddev < 10.,True
19,M182251389RE_pyr_19.jpg,17.213172772145565,0.72442626953125,496.1484002263751,Image exhibiting stddev < 10.,True
0,M182251314LE_pyr_0.jpg,17.81720179125824,0.703155517578125,235.57829274400137,,False
1,M182251314LE_pyr_1.jpg,23.29147451408039,0.83306884765625,323.5573683520779,,False
2,M182251314LE_pyr_2.jpg,73.22157478468573,0.5848541259765625,746.0634441226721,,False
3,M182251314LE_pyr_3.jpg,73.13121665027393,0.176177978515625,1119.423483386403,,False
